lr,data_time,loss,decode.loss_ce,decode.acc_seg,aux.loss_ce,aux.acc_seg,time,iter,memory,step
0.009999387431565697,0.003690075874328613,2.110449504852295,1.4568112730979919,80.40542602539062,0.6536382377147675,69.98109436035156,1.7089774847030639,12.0,9291.0,12.0
0.00999448673244192,0.004429292678833008,0.7765811443328857,0.5363342046737671,79.10995483398438,0.24024693220853804,76.30596160888672,1.742336368560791,100.0,8990.0,100.0
0.009988917428764899,0.0038593292236328127,0.8577184200286865,0.6108931511640548,76.47047424316406,0.24682526141405106,83.9080810546875,1.7398574352264404,200.0,8990.0,200.0
0.009983347776559829,0.003818035125732422,0.7686696171760559,0.5537734389305115,88.52596282958984,0.21489618271589278,87.4734878540039,1.7419863224029541,300.0,8990.0,300.0
0.009977777775586647,0.003606104850769043,0.6657305866479873,0.47675964534282683,77.32429504394531,0.18897093683481217,75.93002319335938,1.7381230115890502,400.0,8990.0,400.0
0.009972207425604932,0.0034014225006103516,0.7257765293121338,0.5142174899578095,71.57583618164062,0.21155904680490495,71.78955078125,1.7364284992218018,500.0,8990.0,500.0
0.009966636726374004,0.003602147102355957,0.5736372470855713,0.4055594265460968,69.760986328125,0.16807782426476478,70.37802124023438,2.8932410001754763,600.0,8989.0,600.0
0.009961065677652849,0.004039263725280762,0.6983478844165802,0.5016487866640091,78.9664306640625,0.19669910073280333,79.95652770996094,2.925941276550293,700.0,8989.0,700.0
0.009955494279200118,0.003952193260192871,0.4839344948530197,0.34085569977760316,89.52607727050781,0.14307879284024239,89.53752136230469,2.9112200260162355,800.0,8989.0,800.0
0.009949922530774154,0.0034538984298706056,0.6096295863389969,0.4311924040317535,80.6783676147461,0.17843718007206916,80.7686767578125,2.9141846895217896,900.0,8989.0,900.0
0.009944350432132988,0.0036293983459472655,0.5772221565246582,0.4055992066860199,70.36895751953125,0.171622946113348,73.05488586425781,2.905806231498718,1000.0,8989.0,1000.0
0.009938777983034325,0.003956794738769531,0.596026998758316,0.4295953154563904,83.93421173095703,0.1664316810667515,85.96429443359375,2.9090158939361572,1100.0,8989.0,1100.0
0.009933205183235533,0.003648996353149414,0.550216543674469,0.39631934463977814,83.3343505859375,0.1538971967995167,83.41035461425781,2.904849672317505,1200.0,8989.0,1200.0
0.009927632032493697,0.0035875320434570314,0.6626462042331696,0.46948311030864714,78.09896850585938,0.19316308870911597,77.58808135986328,2.917510747909546,1300.0,8989.0,1300.0
0.009922058530565565,0.0038037538528442384,0.49737665951251986,0.3585535898804665,82.45306396484375,0.1388230711221695,86.7563247680664,2.9446093797683717,1400.0,8989.0,1400.0
0.00991648467720753,0.0037372350692749024,0.6459101408720016,0.46361041963100436,71.23832702636719,0.1822997137904167,74.55596923828125,2.9288414478302003,1500.0,8989.0,1500.0
0.009910910472175703,0.003893256187438965,0.5675723344087601,0.40930004715919494,87.5570297241211,0.1582722932100296,87.00752258300781,3.1972681045532227,1600.0,8989.0,1600.0
0.00990533591522586,0.003937339782714844,0.6369918003678322,0.45829562842845917,82.27519989013672,0.1786961793899536,85.63185119628906,3.30696964263916,1700.0,8989.0,1700.0
0.009899761006113455,0.0037918806076049803,0.5576606452465057,0.40300042629241944,66.78123474121094,0.154660227894783,72.90229797363281,3.3084370613098146,1800.0,8989.0,1800.0
0.009894185744593607,0.0035314559936523438,0.6349455893039704,0.4503545492887497,75.31271362304688,0.18459103628993034,77.28147888183594,3.300158882141113,1900.0,8989.0,1900.0
0.009888610130421114,0.003885221481323242,0.4452873796224594,0.320843431353569,75.75445556640625,0.1244439460337162,75.6522216796875,3.2960657835006715,2000.0,8989.0,2000.0
0.00988303416335047,0.0035049915313720703,0.43090474009513857,0.3067601531744003,82.16686248779297,0.12414458468556404,84.42620849609375,3.2978246927261354,2100.0,8989.0,2100.0
0.009877457843135802,0.003406786918640137,0.42606868147850036,0.3000598713755608,89.60018157958984,0.1260088063776493,87.78733825683594,3.3044464349746705,2200.0,8989.0,2200.0
0.009871881169530935,0.003307032585144043,0.6757269710302353,0.49066666066646575,91.73554992675781,0.18506030589342118,92.58203125,3.292347955703735,2300.0,8989.0,2300.0
0.009866304142289362,0.0037649869918823242,0.5339903622865677,0.3786184713244438,88.37022399902344,0.15537189245223998,87.55712890625,3.314482045173645,2400.0,8989.0,2400.0
0.009860726761164252,0.0036141395568847655,0.6354427456855773,0.4521900326013565,71.98133850097656,0.18325270190835,66.88785552978516,3.324933385848999,2500.0,8989.0,2500.0
0.009855149025908446,0.0036249399185180665,0.5767932057380676,0.4144290521740913,83.35542297363281,0.1623641572892666,81.70356750488281,3.3500293254852296,2600.0,8989.0,2600.0
0.009849570936274438,0.0038409709930419924,0.4772995889186859,0.3361469730734825,85.21299743652344,0.14115261286497116,85.3096923828125,3.3568254947662353,2700.0,8989.0,2700.0
0.00984399249201441,0.003378939628601074,0.4281411960721016,0.3086947113275528,84.81025695800781,0.11944647766649723,85.61753845214844,3.3604795217514036,2800.0,8989.0,2800.0
0.009838413692880197,0.004026055335998535,0.5634610682725907,0.4050745993852615,76.81636810302734,0.15838647186756133,81.57520294189453,3.3329556465148924,2900.0,8989.0,2900.0
0.009832834538623323,0.0036246776580810547,0.4758606791496277,0.33697767853736876,89.53418731689453,0.13888299614191055,88.43450927734375,3.2942386150360106,3000.0,8989.0,3000.0
0.009827255028994956,0.003669285774230957,0.5092233389616012,0.3678004965186119,90.23809814453125,0.14142284467816352,93.36414337158203,3.3028741836547852,3100.0,8989.0,3100.0
